DATE,DAILY_NET_SALES_UOM_QTY
10/30/16,267
6/13/15,153
10/27/10,114
6/18/13,167
2/21/12,149
11/6/2012,174
10/31/16,207
6/14/15,200
2/22/12,137
10/28/10,119
6/19/13,161
11/7/2012,146
10/11/2014,139
1/28/14,121
2/24/16,207
6/15/15,181
11/8/2012,160
2/23/12,114
6/20/13,163
10/29/10,111
11/1/2016,211
5/31/11,190
1/29/14,133
10/12/2014,209
2/25/16,179
10/30/10,164
2/24/12,133
6/1/2011,141
6/16/15,178
11/9/2012,148
6/21/13,133
11/2/2016,182
10/31/10,172
2/25/12,185
10/13/14,167
1/30/14,110
6/17/15,194
2/26/16,205
6/2/2011,98
6/22/13,149
11/10/2012,208
11/1/2010,150
2/26/12,240
6/18/15,166
6/3/2011,154
6/23/13,171
11/2/2010,101
1/31/14,111
11/11/2012,251
2/27/12,165
10/14/14,153
11/3/2016,211
6/19/15,143
6/4/2011,169
11/3/2010,93
11/12/2012,178
2/28/12,145
6/24/13,196
2/27/16,226
2/1/2014,137
10/15/14,154
6/20/15,168
2/29/12,113
6/5/2011,175
11/13/12,123
11/4/2010,101
6/25/13,166
11/4/2016,222
6/21/15,165
2/28/16,239
3/1/2012,150
6/6/2011,130
11/5/2010,130
2/2/2014,188
11/14/12,144
10/16/14,159
6/26/13,141
6/22/15,181
6/7/2011,135
3/2/2012,122
11/6/2010,156
11/5/2016,263
11/15/12,109
6/27/13,188
2/29/16,218
10/17/14,146
2/3/2014,183
6/23/15,175
6/8/2011,124
3/3/2012,165
11/7/2010,179
11/16/12,152
6/28/13,131
11/6/2016,327
3/4/2012,220
6/24/15,135
6/9/2011,140
11/8/2010,124
11/17/12,170
6/29/13,131
10/18/14,154
2/4/2014,176
3/1/2016,187
3/5/2012,198
6/25/15,145
6/10/2011,126
11/9/2010,112
11/7/2016,216
6/30/13,215
11/18/12,243
3/6/2012,186
6/26/15,122
11/10/2010,115
6/11/2011,136
10/19/14,216
3/2/2016,167
2/5/2014,170
7/1/2013,172
3/7/2012,118
11/19/12,196
11/8/2016,216
6/27/15,155
6/12/2011,174
11/11/2010,134
7/2/2013,163
3/8/2012,169
11/20/12,171
6/28/15,205
2/6/2014,177
10/20/14,191
3/3/2016,234
11/12/2010,128
6/13/11,143
3/9/2012,155
11/9/2016,195
7/3/2013,179
11/21/12,208
6/29/15,193
6/14/11,113
11/13/10,146
3/10/2012,207
7/4/2013,
11/22/12,
10/21/14,194
2/7/2014,154
3/4/2016,197
6/30/15,173
11/10/2016,213
6/15/11,104
11/14/10,179
3/11/2012,237
11/23/12,108
7/5/2013,200
7/1/2015,177
6/16/11,121
3/12/2012,178
11/15/10,154
11/24/12,108
11/11/2016,209
10/22/14,166
2/8/2014,221
7/6/2013,142
3/5/2016,263
7/2/2015,179
6/17/11,135
3/13/12,151
11/16/10,145
11/25/12,199
7/7/2013,190
6/18/11,116
7/3/2015,204
11/17/10,107
11/12/2016,248
10/23/14,122
3/14/12,168
2/9/2014,218
11/26/12,156
3/6/2016,314
7/4/2015,
7/8/2013,198
6/19/11,131
3/15/12,131
11/18/10,94
11/27/12,126
7/5/2015,216
11/13/16,263
6/20/11,132
3/16/12,151
7/9/2013,146
2/10/2014,219
10/24/14,131
11/19/10,89
11/28/12,125
3/7/2016,332
7/6/2015,250
6/21/11,91
3/17/12,171
7/10/2013,130
11/20/10,142
11/29/12,125
11/14/16,262
7/7/2015,178
2/11/2014,187
10/25/14,187
3/18/12,259
6/22/11,103
3/8/2016,247
11/21/10,149
7/11/2013,173
11/30/12,141
7/8/2015,177
6/23/11,102
11/22/10,134
3/19/12,185
11/15/16,198
