DATE,TEMP,PRICE,SALES,COUPON,HOLIDAY
1/11/2014,48.9,5.99,208,0,0
1/24/12,51.1,5.99,125,0,0
10/12/2016,59,5.99,201,0,0
9/30/10,64.9,5.79,126,0,0
5/11/2011,55.9,5.99,107,0,0
5/23/13,55.9,5.99,136,0,0
10/11/2012,55,5.99,135,0,0
5/20/15,57.9,5.99,174,0,0
1/25/12,55.4,5.99,126,0,0
10/1/2010,62.6,5.79,156,0,0
5/12/2011,56,5.99,143,0,0
5/24/13,55,5.99,148,0,0
2/8/2016,59.55,5.99,210,0,0
10/13/16,63,5.99,205,0,0
9/25/14,62.1,5.99,160,0,0
1/12/2014,48,5.99,234,0,0
10/12/2012,55.2,5.99,126,0,0
1/26/12,55.9,5.99,117,0,0
10/2/2010,62.1,5.79,159,0,0
5/13/11,54.95,5.99,127,0,0
5/25/13,55.65,5.99,146,0,0
5/21/15,59,5.99,161,0,0
10/14/16,63,5.99,211,0,0
10/13/12,57.2,5.99,188,0,0
1/27/12,51.8,5.99,125,0,0
2/9/2016,59.55,5.99,189,0,0
10/3/2010,60.1,5.79,183,0,0
1/13/14,50.45,5.99,200,0,0
5/14/11,54.3,5.99,133,0,0
9/26/14,62.1,5.99,125,0,0
5/26/13,59,5.99,168,0,0
5/22/15,57.2,5.99,167,0,0
5/27/13,,,,,1
10/14/12,59,5.99,253,0,0
10/4/2010,60.1,5.79,166,0,0
1/28/12,49.45,5.99,130,0,0
5/23/15,57.9,5.99,188,0,0
10/15/16,65.45,5.99,201,0,0
5/15/11,52,5.99,189,0,0
2/10/2016,60.1,5.99,193,0,0
5/28/13,63,5.99,218,0,0
1/29/12,52.1,5.99,170,0,0
10/15/12,59,5.99,180,0,0
10/5/2010,61.55,5.79,112,0,0
1/14/14,54,5.99,145,0,0
9/27/14,62.6,5.99,141,0,0
5/16/11,52,5.99,149,0,0
5/24/15,57.45,5.99,177,0,0
5/29/13,62.55,5.99,151,0,0
1/30/12,51.1,5.99,118,0,0
10/6/2010,60.1,5.79,92,0,0
10/16/12,61.55,5.99,166,0,0
10/16/16,64,5.99,304,0,0
5/25/15,,,,,1
2/11/2016,58.55,5.99,161,0,0
5/17/11,54,5.99,118,0,0
1/15/14,53.55,5.99,137,0,0
9/28/14,60.9,5.99,222,0,0
1/31/12,51.1,5.99,82,0,0
10/7/2010,60.9,5.79,98,0,0
5/30/13,60,5.99,161,0,0
10/17/12,66.9,5.99,123,0,0
5/26/15,57.9,5.99,243,0,0
10/17/16,61.55,5.99,259,0,0
5/18/11,55,5.99,128,0,0
10/8/2010,60.1,5.79,122,0,0
2/1/2012,50,5.99,126,0,0
5/31/13,65,5.99,151,0,0
10/18/12,70.1,5.99,136,0,0
2/12/2016,57,5.99,191,0,0
5/27/15,57.9,5.99,212,0,0
9/29/14,60.8,5.99,120,0,0
1/16/14,54.5,5.99,128,0,0
5/19/11,57,5.99,116,0,0
10/9/2010,63.5,5.79,132,0,0
2/2/2012,46.9,5.99,150,0,0
6/1/2013,68.55,5.99,149,0,0
10/19/12,64.45,5.99,115,0,0
5/28/15,57,5.99,170,0,0
10/18/16,59,5.99,233,0,0
5/20/11,56,5.99,174,0,0
2/3/2012,50.55,5.99,127,0,0
10/10/2010,64.45,5.79,182,0,0
2/13/16,55,5.99,192,0,0
6/2/2013,60.55,5.99,233,0,0
5/29/15,57,5.99,140,0,0
5/21/11,57.45,5.99,202,0,0
10/20/12,55,5.99,143,0,0
1/17/14,51.55,5.99,128,0,0
10/11/2010,71.5,5.79,129,0,1
2/4/2012,52,5.99,175,0,0
9/30/14,61,5.99,144,0,0
10/19/16,63,5.99,177,0,0
6/3/2013,61.55,5.99,193,0,0
5/22/11,56,5.99,256,0,0
5/30/15,57.1,5.99,173,0,0
2/14/16,59,5.99,217,0,0
10/21/12,54,5.99,185,0,0
10/12/2010,74.9,5.79,92,0,0
2/5/2012,52,5.99,190,0,0
6/4/2013,61,5.99,166,0,0
1/18/14,51.55,5.99,217,0,0
10/1/2014,66.9,5.99,141,0,0
